iter	F1	Logloss
0	0.9433962264	0.5077321322
1	0.9433962264	0.3807814606
2	0.9433962264	0.2834831217
3	0.9433962264	0.2133149738
4	0.9433962264	0.159695148
5	0.9433962264	0.1262677503
6	0.9433962264	0.1083629705
7	0.9433962264	0.08676222939
8	0.9433962264	0.07196919214
9	0.9433962264	0.05607656609
10	0.9433962264	0.04737293192
11	0.9433962264	0.04093591367
12	0.9433962264	0.03405705578
13	0.9433962264	0.02917798574
14	0.9433962264	0.02394775153
15	0.9433962264	0.02071224851
16	0.9433962264	0.0183767468
17	0.962962963	0.01603294673
18	0.962962963	0.01437396334
19	0.962962963	0.01316286252
20	0.962962963	0.01227336551
21	0.962962963	0.01139463877
22	0.962962963	0.01054229158
23	0.962962963	0.009794912815
24	0.962962963	0.009103734289
25	0.962962963	0.008584970195
26	0.962962963	0.008001277236
27	0.962962963	0.007587707137
28	0.962962963	0.007093153732
29	0.962962963	0.006823222028
30	0.962962963	0.006428435831
31	0.962962963	0.006166399038
32	0.9818181818	0.005937435624
33	0.9818181818	0.005662739777
34	0.9818181818	0.005399157443
35	1	0.005203695963
36	1	0.005034302088
37	1	0.004853243853
38	1	0.00464107524
39	1	0.004504543812
40	1	0.004386378997
41	1	0.004272173628
42	1	0.004161607581
43	1	0.004056288666
44	1	0.003930787346
45	1	0.003818441619
46	1	0.003724821017
47	1	0.003621986388
48	1	0.003520006719
49	1	0.003419673501
50	1	0.003345455127
51	1	0.003222165162
52	1	0.003168737205
53	1	0.003112399099
54	1	0.003030271226
55	1	0.002951781809
56	1	0.0028788677
57	1	0.002832306699
58	1	0.002774224288
59	1	0.002728012736
60	1	0.002667376513
61	1	0.002607963288
62	1	0.002566730694
63	1	0.002518191445
64	1	0.002474821211
65	1	0.00243331697
66	1	0.002347692855
67	1	0.002309780701
68	1	0.002273303519
69	1	0.002237113319
70	1	0.002197748323
71	1	0.002165418445
72	1	0.002123740225
73	1	0.00210083855
74	1	0.002077949457
75	1	0.002046137509
76	1	0.00200347513
77	1	0.001940650681
78	1	0.001906944417
79	1	0.00187878708
80	1	0.00185135798
81	1	0.001822076675
82	1	0.00178648582
83	1	0.001761504795
